1942,1,PC | Steam,VALVE,B,Scrolling shooter,,,NULL,2022,1984,5,,Não,Sim,1
Metal Slug X,2,Windows 10,Microsoft,S,Run and gun,,,NULL,2020,1999,10,,Não,Sim,169
Metroid: Samus Returns,20,Nintendo 3DS,Nintendo,B,Metroidvania,,,NULL,2021,2007,9,,Sim,Não,170
Metroid: Zero Mission,8,Nintendo GameBoy Advance,Nintendo,B,Metroidvania,,,NULL,2021,2004,11,,Sim,Não,171
Michael Jackson's Moonwalker,1,Arcade,Sega,B,Beat 'em up,,,NULL,2023,1990,7,,Sim,Não,172
Minecraft Dungeons,42,Windows 10,Microsoft,B,Dungeon crawler,,,NULL,2020,2020,9,1000G,Não,Sim,173
Minecraft: Java Edition,0,Windows 10,Microsoft,B,Survival,,,NULL,2011,2011,11,,Sim,Não,174
Minit,3,Windows 10,Microsoft,C,Adventure,,,NULL,2020,2018,7,,Não,Sim,175
Mortal Kombat: Unchained,2,PlayStation Portable,Sony,S,Fighting,,,NULL,2024,2006,6,,Sim,Não,176
My Friend Pedro,6,Windows 10,Microsoft,B,Shoot 'em up,,,NULL,2019,2019,7,,Não,Sim,177
Nano Assault EX,5,Nintendo 3DS,Nintendo,C,Shoot 'em up,Matar o Ultimo Boss,Jogo é bem tranquilo,NULL,2023,2013,7,,Sim,Não,178
Narita Boy,9,Windows 10,Microsoft,B,Action-adventure,,,NULL,2021,2021,7,,Não,Sim,179
New Super Mario Bros,7,Nintendo DS,Nintendo,B,Platform,,,NULL,2023,2006,8,,Sim,Não,180
New Super Mario Bros. 2,6,Nintendo 3DS,Nintendo,C,Platform,,,NULL,2022,2012,7,,Sim,Não,181
Ninja Commando,3,Neo Geo MVS,SNK,B,Shoot 'em up,Amazon Games,,NULL,2023,1992,8,,Não,Não,182
Ori and the Blind Forest: Definitive Edition,18,Windows 10,Microsoft,A,Metroidvania,,,NULL,2020,2015,9,,Não,Sim,183
Ori and the Will of the Wisps,20,Windows 10,Microsoft,A,Metroidvania,,,NULL,2021,2020,10,,Não,Sim,184
Outlast,7,PC | Steam,VALVE,B,Survival horror,,,NULL,2020,2013,8,,Não,Sim,185
Outlast II,8,PC | Steam,VALVE,B,Survival horror,,,NULL,2021,2017,8,,Não,Sim,186
Outlast: Whistleblower,2,PC | Steam,VALVE,B,Survival horror,,,NULL,2020,2013,8,,Não,Sim,187
"Papers, Please",6,PC | Steam,VALVE,A,Puzzle,,,NULL,2019,2013,9,,Não,Sim,188
Pepsiman,3,PlayStation 1,Sony,S,Action,Jogo injusto dalhe save-state,,NULL,2023,1999,8,,Sim,Não,189
Persona 3 Reload,200,Xbox Series S,Microsoft,B,RPG,"Zerei 3 vezes porque errei, coloquei no Series foi onde mais joguei",,NULL,2024,2024,11,1000G,Não,Sim,190
Plants vs. Zombies: GOTY Edition,8,PC | Steam,VALVE,B,Tower defense,,,NULL,2021,2009,8,,Não,Sim,191
Pokémon Emerald,60,Nintendo GameBoy Advance,Nintendo,B,RPG,,,NULL,2012,2005,11,,Sim,Não,192
Pokémon FireRed,60,Nintendo GameBoy Advance,Nintendo,B,RPG,,,NULL,2012,2004,11,,Sim,Não,193
Pokémon X,52,Nintendo 3DS,Nintendo,C,RPG,,,NULL,2018,2013,10,,Não,Não,194
Poochy & Yoshi's Woolly World,14,Nintendo 3DS,Nintendo,B,Platform,,,NULL,2023,2017,8,,Sim,Não,195
Portal 1,4,PC | Steam,VALVE,A,Puzzle,,,NULL,2019,2007,10,,Não,Sim,196
Portal 2,9,PC | Steam,VALVE,A,Puzzle,,,NULL,2019,2011,10,,Não,Sim,197
Postal 2,12,PC | Steam,VALVE,B,FPS,,,NULL,2019,2003,10,,Não,Sim,198
Power Stone 2,1,Dreamcast,Sega,B,Fighting,Zerei com meu amigo de internet usando RetroArch via remoteplay,,NULL,2023,2000,8,,Sim,Não,199
Press X to Not Die,0,PC | Steam,VALVE,C,FMV,,,NULL,2021,2017,7,,Não,Sim,200
Purikura Daisakusen,1,Sega Saturn,Sega,A,Run and gun,,,NULL,2023,1996,7,,Sim,Não,201
QuackShot Starring Donald Duck,5,Mega Drive,Sega,S,Platform,Matar o Ultimo Boss,Utilizei save stade no meio e no final do ultimo boss,NULL,2023,1991,9,,Sim,Não,202
Radiant Silvergun,2,Sega Saturn,Sega,SS,Shoot 'em up,,,NULL,2023,1998,10,,Sim,Não,203
ReCore: Definitive Edition,15,Windows 10,Microsoft,B,Action-adventure,,,NULL,2019,2016,7,,Não,Sim,204
Red Dead Redemption,18,PlayStation 3,Sony,B,TPS,,,NULL,2019,2010,11,,Não,Sim,205
Red Dead Revolver,8,PlayStation 2,Sony,B,TPS,,,NULL,2018,2004,8,,Sim,Não,206
Resident Evil 4,24,PC | Steam,VALVE,B,Survival Horror,,,NULL,2021,2014,9,,Não,Sim,207
Rime,7,PC | Steam,VALVE,B,Puzzle,,,NULL,2021,2017,7,,Não,Sim,208
Rise of the Tomb Raider,12,Windows 10,Microsoft,B,Action-adventure,,,NULL,2019,2015,9,,Não,Sim,209
Rogue Legacy,66,PC | Steam,VALVE,A,Roguelike,,,NULL,2020,2013,10,,Não,Sim,210
Ryse: Son of Rome,10,PC | Steam,VALVE,C,Hack and slash,,,NULL,2021,2014,6,,Não,Sim,211
Sadame,9,Nintendo 3DS,Nintendo,B,Action-RPG,Matar o Ultimo Boss,,NULL,2023,2016,7,,Sim,Não,212
Sayonara Wild Hearts,1,Apple Arcade | iPhone,Apple,C,Rhythm,,,NULL,2022,2019,8,,Não,Não,213
Sea of Thieves,91,Windows 10,Microsoft,C,Action-adventure,,,NULL,2021,2018,9,,Não,Sim,214
Shadow of the Colossus,12,PlayStation 2,Sony,A,Action-adventure,,,NULL,2012,2005,11,,Sim,Não,215
Shock Troopers,2,Neo Geo MVS,SNK,B,Run and gun,Amazon Games,,NULL,2023,1997,7,,Não,Não,216
Shock Troopers 2nd Squad,2,Neo Geo MVS,SNK,C,Run and gun,Amazon Games,,NULL,2023,1998,8,,Não,Não,217
Sin and Punishment,3,Nintendo 64,Nintendo,A,Rail shooter,,,NULL,2024,2000,8,,Sim,Sim,218
Sonic & All-Stars Racing Transformed,10,PC | Steam,VALVE,C,Racing,,,NULL,2019,2013,7,,Não,Sim,219
Sonic The Hedgehog,4,Mega Drive,Sega,A,Platform,Mega Drive Collection,,NULL,2022,1991,8,,Não,Sim,220
Sonic the Hedgehog 2,3,Mega Drive,Sega,A,Platform,Mega Drive Collection,,NULL,2022,1992,9,,Não,Sim,221
Sonic Wings Special,2,Sega Saturn,Sega,S,Shoot 'em up,,,NULL,2023,1996,8,,Sim,Não,222
Soul Edge,1,PlayStation 1,Sony,B,Fighting,,,NULL,2023,1997,7,,Sim,Não,223
Soulcalibur,2,Dreamcast,Sega,C,Fighting,,,NULL,2023,1998,10,,Sim,Sim,224
SoulCalibur VI,8,PC | Steam,VALVE,B,Fighting,,,NULL,2020,2018,6,,Não,Sim,225
Spore,7,PC | Steam,VALVE,A,God game,,,NULL,2020,2008,8,,Não,Sim,226
Star Fox 3D,1,Nintendo 3DS,Nintendo,C,Rail shooter,,,NULL,2022,2011,7,,Sim,Não,227
Star Soldier: Vanishing Earth,2,Nintendo 64,Nintendo,C,Shoot 'em up,,,NULL,2024,1998,7,,Sim,Sim,228
Star Wars Jedi: Fallen Order,23,PC | EA Play,EA Play,B,Soulslike,,,NULL,2021,2019,8,,Não,Sim,229
Steam-Heart's,2,Sega Saturn,Sega,SS,Shoot 'em up,,,NULL,2023,1998,6,,Sim,Não,230
Street Fighter II,1,PC | Steam,VALVE,B,Fighting,,,NULL,2022,1991,8,,Não,Sim,231
Street Fighter III: 3rd Strike,2,Dreamcast,Sega,B,Fighting,,,NULL,2023,2000,9,,Sim,Não,232
Streets of Rage,3,Mega Drive,Sega,A,Beat 'em up,Mega Drive Collection,,NULL,2024,1991,8,,Não,Sim,233
Streets of Rage 4,8,Windows 10,Microsoft,B,Beat 'em up,,,NULL,2020,2020,8,,Não,Sim,234
Sunset Riders,1,Arcade,Konami,A,Run and gun,,,NULL,2023,1991,9,,Sim,Não,235
Super Mario 3D Land,10,Nintendo 3DS,Nintendo,B,Platform,,,NULL,2021,2011,8,,Sim,Não,236
Super Mario 3D World + Bowser's Fury,20,Nintendo Switch,Nintendo,A,Platform,,,NULL,2021,2021,10,,Sim,Não,237
Super Mario 64,30,Nintendo 64,Nintendo,A,Platform,,,NULL,2011,1996,11,100%,Não,Sim,238
Super Mario Bros Deluxe.,4,Nintendo GameBoy Color,Nintendo,S,Platform,,,NULL,2023,1999,10,,Sim,Não,239
Super Mario Bros.,1,Nintendo Entertainment System,Nintendo,A,Platform,"Feijão com Arroz do Mundo dos Videos games, o SALVADOR",,NULL,2024,1985,10,,Sim,Sim,240
Super Mario Bros. Wonder,10,Nintendo Switch,Nintendo,B,Platform,,,NULL,2023,2023,10,,Sim,Não,241
Super Mario World,10,Super Nintendo,Nintendo,A,Platform,"Nada a Declarar, Obra Prima",,NULL,2024,1990,10,,Sim,Sim,242
Super Meat Boy,25,PC | Steam,VALVE,S,Platform,,,NULL,2020,2010,8,,Não,Sim,243
Super Smash Bros 3DS,1,Nintendo 3DS,Nintendo,C,Fighting,,,NULL,2023,2014,8,,Sim,Não,244
Super Smash Bros. Melee,2,Nintendo Game Cube,Nintendo,B,Fighting,,,NULL,2021,2001,9,,Sim,Não,245
Super Smash Bros.( 64),1,Nintendo 64,Nintendo,B,Fighting,,,NULL,2023,1999,10,,Não,Sim,246
SUPERHOT,2,Windows 10,Microsoft,B,FPS,,,NULL,2019,2016,7,,Não,Sim,247
Teenage Mutant Ninja Turtles: Shredder's Revenge,3,Windows 10,Microsoft,C,Beat 'em up,,,NULL,2023,2022,8,,Não,Sim,248
Teenage Mutant Ninja Turtles: The Hyperstone Heist,3,Mega Drive,Sega,A,Beat 'em up,Ótimo Beat Up,,NULL,2024,1992,8,,Sim,Sim,249
Tekken,2,PlayStation 1,Sony,A,Fighting,,,NULL,2023,1995,8,,Sim,Não,250
Tekken 2,2,PlayStation 1,Sony,C,Fighting,,,NULL,2023,1996,8,,Sim,Não,251
Tekken 3,1,PlayStation 1,Sony,B,Fighting,,,NULL,2023,1998,10,,Sim,Não,252
Tekken 4,1,PlayStation 2,Sony,B,Fighting,,,NULL,2023,2002,8,,Sim,Não,253
Tekken 5: Dark Resurrection,1,PlayStation Portable,Sony,B,Fighting,Matar o Ultimo Boss,,NULL,2023,2006,8,,Sim,Não,254
Tekken 6,2,PlayStation Portable,Sony,B,Fighting,,,NULL,2023,2009,8,,Sim,Não,255
Tell Me Why,9,Windows 10,Microsoft,C,Graphic adventure,,,NULL,2021,2020,7,,Não,Sim,256
The Awesome Adventures of Captain Spirit,2,PC | Steam,VALVE,C,Graphic adventure,,,NULL,2020,2018,7,,Não,Sim,257
The Elder Scrolls V: Skyrim,35,PC | Steam,VALVE,B,Action-RPG,,,NULL,2019,2011,11,,Não,Sim,258
The Last of Us Part II,24,PlayStation 4,Sony,A,Action-adventure,,,NULL,2020,2020,11,,Não,Sim,259
The Last of Us Remastered,20,PlayStation 4,Sony,A,Action-adventure,,,NULL,2019,2015,11,,Não,Sim,260
The Legend of Zelda: Link's Awakening DX,12,Nintendo GameBoy Color,Nintendo,B,Action-adventure,,,NULL,2019,1998,7,,Sim,Não,261
The Order: 1886,15,PlayStation 4,Sony,B,Action-adventure,,,NULL,2020,2015,6,,Não,Sim,262
The Punisher,0,Arcade,Capcom,B,Beat 'em up,,,NULL,2022,1993,7,,Sim,Não,263
The Simpsons Arcade Game,1,Arcade,Konami,B,Beat 'em up,,,NULL,2023,1991,8,,Sim,Não,264
The Walking Dead: A New Frontier,9,PC | Steam,VALVE,C,Graphic adventure,,,NULL,2021,2020,8,100%,Não,Sim,265
The Walking Dead: Season One,18,PC | Steam,VALVE,C,Graphic adventure,,,NULL,2021,2012,10,100%,Não,Sim,266
The Walking Dead: Season Two,13,PC | Steam,VALVE,C,Graphic adventure,,,NULL,2021,2014,10,100%,Não,Sim,267
The Walking Dead: The Final Season,11,PC | Steam,VALVE,C,Graphic adventure,,,NULL,2021,2019,10,,Não,Sim,268
The Witcher: Enhanced Edition,48,PC | Steam,VALVE,B,Action-RPG,,,NULL,2020,2008,9,,Não,Sim,269
Thunder Force V,5,Sega Saturn,Sega,SS,Shoot 'em up,"Zerei no Fácil, emulador travou 25x vezes e quase desisto do jogo",,NULL,2023,1997,8,,Sim,Não,270
Toem,5,Windows 10,Microsoft,C,Photography,,,NULL,2023,2021,8,,Não,Sim,271
Tomb Raider,12,PC | Steam,VALVE,B,Action-adventure,,,NULL,2021,2013,8,,Não,Sim,272
Transistor,7,PC | Steam,VALVE,B,Action-RPG,,,NULL,2021,2015,8,,Não,Sim,273
Trine,6,PC | Steam,VALVE,A,Platform,,,NULL,2020,2009,7,,Não,Sim,274
Twelve Minutes,6,Windows 10,Microsoft,B,Adventure,,,NULL,2021,2021,7,,Não,Sim,275
TwinBee Yahho!,1,Sega Saturn,Sega,C,Shoot 'em up,,,NULL,2023,1995,7,,Sim,Não,276
Twinkle Star Sprites,1,Neo Geo MVS,SNK,C,Shoot 'em up,Amazon Games,,NULL,2023,1996,9,,Não,Não,277
Twinkle Tale,3,Mega Drive,Sega,SS,Shoot 'em up,Matar o Ultimo Boss,Zerei Com save stade e no facil fiz o final o ruim mas tranquilo,NULL,2023,1992,9,,Sim,Sim,278
Uncharted: Drake's Fortune Remastered,10,PlayStation 4,Sony,B,Action-adventure,Primeiro jogo zerado no meu PS4 Kkkkkk,,NULL,2024,2015,8,,Não,Sim,279
Undertale,16,PC | Steam,VALVE,A,RPG,OBRA PRIMA DEFINTIVA ADOREI! FANTASTICO,,NULL,2024,2015,11,,Não,Sim,280
Until Dawn,19,PlayStation 4,Sony,B,Interactive drama,,,NULL,2021,2015,7,,Não,Sim,281
WarioWare Gold,2,Nintendo 3DS,Nintendo,C,Action,,,NULL,2022,2018,8,,Sim,Não,282
"WarioWare, Inc.: Mega Microgame$!",5,Nintendo GameBoy Advance,Nintendo,B,Action,,,NULL,2022,2003,11,,Sim,Não,283
WarioWare: Snapped!,1,Nintendo DSi,Nintendo,C,Action,,,NULL,2023,2009,7,,Sim,Não,284
What Remains of Edith Finch,3,Windows 10,Microsoft,C,Walking Simulator,,,NULL,2021,2017,9,,Não,Sim,285
Wolfenstein: The New Order,17,Windows 10,Microsoft,B,FPS,,,NULL,2021,2014,7,,Não,Sim,286
X-men Vs. Street Fighter,1,Sega Saturn,Sega,C,Fighting,,,NULL,2023,1997,7,,Sim,Não,287
Sine Mora Ex,3,PC | Steam,VALVE,A,Shoot 'em up,jogo de nave legal e interessante,,NULL,2024,2017,8,,Não,Sim,288
Sonic CD,2,PC | Steam,VALVE,B,Platform,Sonic 1 com melhorias,,NULL,2024,2012,7,,Não,Sim,289
Atomic Runner,3,Mega Drive,Sega,SS,Run and gun,Zerei Com save stade,,NULL,2024,1992,7,,Sim,Sim,290
Sekiro: Shadows Die Twice,120,Xbox One,Microsoft,SS,Soulslike,OBRA PRIMA DEFINTIVA ADOREI! FANTASTICO,,NULL,2024,2019,11,1000G,Não,Sim,291
Fire Hawk,1,Arcade,MAME,C,Shoot 'em up,Jogo maneiro,,NULL,2024,2001,6,,Sim,Não,292
Virtual Boy: Wario Land,3,Virtual Boy,Nintendo,B,Platform,Primeiro jogo do virtual boy e miyoo mini+,,NULL,2024,1995,8,,Sim,Sim,293
Super Mario Land,1,Nintendo GameBoy,Nintendo,B,Platform,Zerado Miyoo Mini+,,NULL,2024,1989,7,,Sim,Sim,294
Super Mario Land 2: 6 Golden Coins,2,Nintendo GameBoy,Nintendo,B,Platform,Zerado Miyoo Mini+,,NULL,2024,1992,8,,Sim,Sim,295
Pokémon Red/Blue,18,Nintendo GameBoy,Nintendo,B,RPG,Zerado Miyoo Mini+ - Glit do Rare Candy,,NULL,2024,1998,11,,Sim,Sim,296
Wario Land: Super Mario Land 3,4,Nintendo GameBoy,Nintendo,B,Platform,Zerado Miyoo Mini+,,NULL,2024,1994,8,,Sim,Não,297
Gears of War,10,Xbox 360,Microsoft,B,TPS,Jogo necessario para jogar,,NULL,2024,2006,9,,Não,Sim,298
Astro Playroom,1,PlayStation 5,Sony,C,Platform,Ótima Demo do PS5,,NULL,2024,2020,8,,Não,Sim,299
Gears of War 2,12,Xbox 360,Microsoft,B,TPS,Muito Bom superou o primeiro,,NULL,2024,2008,9,,Não,Sim,300
Pulseman,5,Mega Drive,Sega,SS,Platform,Ótimo Plataforma e Muito dificil!,,NULL,2024,1994,8,,Sim,Sim,301
Super Mario Strikers,8,Nintendo Game Cube,Nintendo,B,Sports,Primeiro jogo de Game Cube zerado com Retroachivements,,NULL,2024,2005,8,,Sim,Sim,302
Uncharted 2: Among Thieves Remastered,13,PlayStation 4,Sony,B,Action-adventure,Primeiro jogo zerado no meu PS4 Kkkkkk,,NULL,2024,2015,8,,Não,Sim,303
Castlevania: Bloodlines - Anniversary Collection,7,Mega Drive,Sega,S,Classicvania,Primeiro Castle,,NULL,2024,1994,9,,Não,Sim,304
It Takes Two,21,Xbox Series S,Microsoft,C,Platform,Primeiro Jogo que zerei com thalia,,NULL,2024,2021,11,,Não,Sim,305
Tunic,30,Xbox Series S,Microsoft,B,Action-adventure,"Demorei muito por conta que eu não entendi, depois eu peguei o jeito",,NULL,2024,2022,9,1000G,Não,Sim,306
Gears of War 3,12,Xbox 360,Microsoft,B,TPS,"Jogo ótimo, com muito mais ação e termina de maneira sensacional",,NULL,2024,2011,10,,Não,Sim,307
Final Fight 2,1,Super Nintendo,Nintendo,B,Beat 'em up,Matar o Ultimo Boss,Parece o primeiro porém alguns fases diferentes kkkk gostei no geral,NULL,2024,1993,8,,Sim,Sim,308
Bishoujo Senshi Sailor Moon R,1,Super Nintendo,Nintendo,A,Beat 'em up,Completa todas as fases,"Jogo é legal mas chega na 3 fase é triste, melhor jogar com a chibi",NULL,2024,1993,7,,Sim,Sim,309
Teenage Mutant Ninja Turtles IV: Turtles in Time,1,Super Nintendo,Nintendo,B,Beat 'em up,Matar o Ultimo Boss,Bom jogo mas prefiro a nova versao,NULL,2024,1991,8,,Sim,Sim,310
Pocky & Rocky 2,4,Super Nintendo,Nintendo,S,Run and gun,Completar Todas as Fases,Um bom jogo,NULL,2024,1994,8,,Sim,Sim,311
Balatro,10,PC | Steam,VALVE,A,Roguelike,Completar a primeira run do blind,"Vale muito apena jogar, otimo jogo de cartas",NULL,2024,2024,9,,Não,Sim,312
Super Metroid,12,Super Nintendo,Nintendo,A,Metroidvania,Derotar todos os chefes,Primeiro jogo zerado com controle SNES Swtich Online,NULL,2024,1994,9,,Sim,Sim,313
Lies of P,124,Xbox Series S,Microsoft,S,Soulslike,Torrar todos chefes,"Jogão, decidi colcoar agora mas as horas coloco depois, vou platinar ele a data de zeramento é do primeiro final",07/jan,2025,2023,10,1000G,Não,Sim,314
Sackboy: Uma Grande Aventura,10,PlayStation 4,Sony,B,Platform,Completar todas as Fases,ótimo jogo para crianças e familia,12/jan,2025,2020,9,,Não,Sim,315
Kirby's Dream Land,1,Nintendo Gameboy,Nintendo,C,Platform,Completar todas as Fases,"ótimo jogo para crianças e joguei só para ver como que era, acabei zerando",13/jan,2025,1992,7,,Sim,Sim,316
DEAD OR ALIVE 5 Last Round,4,PlayStation 4,Sony,B,Fighting,Completar todas as Lutas,"ótimo jogo, para",17/jan,2025,2015,7,,Não,Sim,317
Street Fighter V: Champion Edition,9,PlayStation 4,Sony,B,Fighting,Completar todas as Lutas,"Fiz todos modos arcades, todas lutas individuais e modo historia geral",25/jan,2025,2016,8,,Não,Sim,318
Shin Megami Tensei IV,43,Nintendo 3DS,Nintendo,A,RPG,Derrotar todos os boss,Fiz o final lei agora rumo ao final neutro e caos,28/jan,2025,2013,11,,Sim,Não,319
